# cutoff and sigmas are in units of Angstroms
# epsilon are in units of Electron Volts
#Species_i   # Species_j   # cutoff        # epsilon       # sigma
Lv           Lv            12.4726000      1.7095770       3.1181500
Ts           Ts            11.7599000      1.2468978       2.9399700
Og           Og            11.1897000      0.0193493       2.7974200
electron     electron      4.0             1.0             1.0
user01       user01        4.0             1.0             1.0
user02       user02        4.0             1.0             1.0
user03       user03        4.0             1.0             1.0
user04       user04        4.0             1.0             1.0
user05       user05        4.0             1.0             1.0
user06       user06        4.0             1.0             1.0
user07       user07        4.0             1.0             1.0
user08       user08        4.0             1.0             1.0
user09       user09        4.0             1.0             1.0
user10       user10        4.0             1.0             1.0
user11       user11        4.0             1.0             1.0
user12       user12        4.0             1.0             1.0
user13       user13        4.0             1.0             1.0
user14       user14        4.0             1.0             1.0
user15       user15        4.0             1.0             1.0
user16       user16        4.0             1.0             1.0
user17       user17        4.0             1.0             1.0
user18       user18        4.0             1.0             1.0
user19       user19        4.0             1.0             1.0
user20       user20        4.0             1.0             1.0

#
# CDDL HEADER START
#
# The contents of this file are subject to the terms of the Common Development
# and Distribution License Version 1.0 (the "License").
#
# You can obtain a copy of the license at
# http://www.opensource.org/licenses/CDDL-1.0.  See the License for the
# specific language governing permissions and limitations under the License.
#
# When distributing Covered Code, include this CDDL HEADER in each file and
# include the License file in a prominent location with the name LICENSE.CDDL.
# If applicable, add the following below this CDDL HEADER, with the fields
# enclosed by brackets "[]" replaced with your own identifying information:
#
# Portions Copyright (c) [yyyy] [name of copyright owner]. All rights reserved.
#
# CDDL HEADER END
#

#
# Copyright (c) 2015, Regents of the University of Minnesota.
# All rights reserved.
#
# Contributors:
#    Ryan S. Elliott
#    Andrew Akerson
#


# * Sigma parameters are set to (2^{-1/6})*r_0, where r_0 is the atomic
#   covalent radius.  Covalent radii for elements 1--96 were taken from Wolfram
#   Mathematica's `ElementData["CovalentRadius"]' command.  Covalent radii for
#   elements 97--118 were taken from Fig. 3 of the article Pyykko, M. Atsumi,
#   J. Chem. Eur. J. 15 (2009) 12770.
#
# * Epsilon parameters are set to the bond dissociation energy.  Bond
#   dissociation energies for elements 1--55, 57--60, and 61--84 were taken
#   from the CRC Handbook of Chemistry and Physics, 91st Edition,
#   Ed. W.H. Haynes, 2010. (as posted here:
#   http://staff.ustc.edu.cn/~luo971/2010-91-CRC-BDEs-Tables.pdf)
#
#   The value (cohesive energy, in this case) for element 56 was obtained from
#   p. 50 in Charles Kittel. Introduction to Solid State Physics, 8th
#   edition. Hoboken, NJ: John Wiley & Sons, Inc, 2005.
#
#   The bond dissociation energy value for element 61 was obtained from
#   "Interpolation scheme for the cohesive energies for the lanthanides and
#   actinides" Borje Johansson and Anders Rosengren, Phys. Rev. B 11, 1367
#   (1975).
#
#   The bond dissociation energies for elements 85--118 were not found in the
#   literature.  Thus, the values used here are approximated by subtracting 10%
#   from the value for the element in the same Group (column) and previous
#   Period (row) of the periodic table.
